ACT_FLOW_ITEM_DATA|新增用血申请单主表
COM_ROLE_BUSINESS_PRIV_CONFIG|业务权限分发
COM_ROLE_GROUP|新建角色
COM_ROLE_GROUP_CONFIG|新建角色
COM_ROLE_MENU_CONFIG|新建角色
COM_ROLE_PRIVS|获取用户已分配角色
COM_SELF_MACHINE_MENU_DIST|批量新增 oracle
COM_SICK_LAB_EXAM_RECOGNIZE|批量新增检查检验互认表 oracle
COM_SPECIAL_DISEASE_CLINIC_CONFIG|批量新增特殊病种药品配置
COM_SPECIAL_DISEASE_DRUG_BLACK_CONFIG|批量插入
COM_SPECIAL_DISEASE_DRUG_BLACK_CONFIGATION|批量新增特殊病种药品配置
COM_SPECIAL_DISEASE_DRUG_CLASS_CONFIG|批量插入
COM_SPECIAL_DISEASE_DRUG_CONFIG|批量插入
COM_SPECIAL_DRUG_APPLY_DEPT_CONFIG|获取特殊药品开单权限已分发医生信息
COM_SPECIAL_DRUG_DOCTOR_CONFIG|获取特殊药品开单权限已分发医生信息
COM_SPECIAL_DRUG_OTHER_CONFIG|获取特殊药品开单权限已分发医生信息
COM_SPECIAL_DRUG_PATIENT_CONFIG|获取特殊药品开单权限已分发医生信息
COM_SPECIALTY_DISEASE_DOCTOR_ASSIGNMENT|新增医保特殊病种字典
COM_STAFF_BASIC_INFO|结果映射
COM_STAFF_CA_INFO|批量获取签名
COM_STAFF_PHOTO_PICTURE|新增员工相片图片表
COM_STAFF_SCHEDULE_AUDIT|新增后台自动执行情况日志记录表
COM_STAFF_SIGNATURE_PICTURE|批量获取签名
COM_STAFF_WORK_PRIV|获取用户已分配角色
COM_SUBSIDIARY_ACCOUNT_PRIV|获取用户已分配角色
COM_SYSTEM_SADDR_MAP_TYPE|查询系统服务地址映射类型列表
COM_TEMPLATE_CONFIG|新增住院医嘱模板主表
COM_TEMPLATE_DIAG_CONFIG|翻译字段
COM_TEND_DEPT_GIVE_DICT|获取医技科室已分发的执行药房
COM_THIED_PARTY_PUSH_LOG|自动作废过期药品（药品库存）
COM_THIRD_APPLY_LINK|根据员工的工号获取员工信息
COM_THIRD_PAY_CONTRAST|获取门诊单据数据
COM_USER_DEFINED_BUTTON|ComUserDefinedButton对象
COM_USER_DEFINED_BUTTON_CONFIG|ComUserDefinedButtonConfig对象
COM_USER_DEFINED_CONFIG|CommUserDefinedConfig对象
COM_USER_ROLE_CONFIG|新建角色
COM_USER_WORK_SIGN_ERROR_LOG|新增后台自动执行情况日志记录表
COM_USER_WORK_SIGN_RECORD|新增后台自动执行情况日志记录表
COM_VIRTUAL_WARD_DEPT_DIST|新增虚拟病房字典
COM_VIRTUAL_WARD_DIAG_DIST|新增虚拟病房字典
COM_VIRTUAL_WARD_DOCTOR_DIST|新增虚拟病房字典
COM_VIRTUAL_WARD_PATINENT_INFO|新增虚拟病房字典
CON_DETAULT_COMPARISON|通用查询映射结果
CREDIT_MEDICAL_TREATMENT_TRADE_LOG|信用就医交易日志
DIC_ALLERGY_DICT|新增过敏字典
DIC_ANTIB_CLASS_DICT|查询抗菌药类别字典
DIC_BANK_DICT|新增钱包账户
DIC_BASIC_DICT|新增住院结账主表
DIC_BASIC_INFO|新增住院用药打印条件配置细表
DIC_BASIC_UNIT_DICT|翻译字段
DIC_BED_DICT|单据查询语法
DIC_BED_LEVEL_DICT|新增床位等级字典
DIC_BILL_TYPE_DICT|获取诊疗项目关联项目
DIC_BLOOD_DICT|新增血制品名称字典
DIC_BOIL_METHOD_DICT|新增门诊中药处方附加表
DIC_BUSINESS_TEMPLATE_CONFIG|新增业务模板票据配置表实体
DIC_BUSINESS_TEMPLATE_DIST|新增业务模板票据配置表实体
DIC_BUSINESS_UNIT_DICT|新增过敏药品禁用对照表
DIC_CARD_TYPE_DICT|新增就诊卡维护记录表
DIC_CHECK_PART_DICT|获取诊疗项目关联项目
DIC_CLINIC_CONTROL_FLOW_CONFIG|新增流程控制配置字典
DIC_CLINIC_GENERAL_ADD_FEE_DIS|分页查询采血信息列表
DIC_CLINIC_GROUP_DICT|新增科室对照病区分发
DIC_CLINIC_ITEM_DICT|新增流程控制配置字典
DIC_COLLECTIVE_PURCHASE_TYPE|集采管理
DIC_COUNTRY_DICT|获取病人基本信息
DIC_CUSTOM_DIAG_DICT|翻译字段
DIC_CUSTOMER_INFO|新增客户信息字典
DIC_DAY_OPERATION_DIAG_CONFIG|新增择日/日间诊断分发字典
DIC_DAY_OPERATION_REFUSE_REASON|新增日间手术拒绝原因字典
DIC_DEPT_CLINIC_ROOM_DICT|新增科室\诊室向分诊台字典
DIC_DEPT_DICT|获取窗口
DIC_DEPT_DISPENSE_MULTIPLE_CONFIG|新增科室发药倍数配置字典
DIC_DEPT_DRUG_BARCODE_UNTUCK_CONFIG|翻译字段
DIC_DEPT_DRUG_UNTUCK_CONFIG|新增科室药品拆分配置字典
DIC_DEPT_OPERATION_LEVEL_DICT|新增手术等级审核字典
DIC_DEPT_PHARMACY_CONFIG|插入预校验
DIC_DEPT_USAGE_CONFIG|新增科室用药方法配置表
DIC_DEPT_WARD_CONFIG|新增科室对照病区分发
DIC_DOCTOR_COMMON_WORD|新增医生常用语字典
DIC_DOCTOR_SCHE_TEMPL_CFG|新增门诊医生排班模板类型配置
DIC_DRUG_CLASS_DICT|批量新增特殊病种药品配置
DIC_DRUG_DICT|自动作废过期药品（药品库存）
DIC_DRUG_DICT_EXTEND|新增费别特殊收费项目分发
DIC_DRUG_DICT_ORG_CONFIG|批量新增特殊病种药品配置
DIC_DRUG_FORM_DICT|新增费别特殊收费项目分发
DIC_DRUG_NAME_DICT|插入货柜号
DIC_DRUG_PICTURE_INFO|新增药品图片信息
DIC_DRUG_SPEC_CHN|新增中药规格字典
DIC_DRUG_UNIT_CONFIG|新增药品单位配置字典
DIC_DRUG_UNIT_DICT|新增住院摆药池记录表
DIC_DRUG_USAGE_DICT|搜索条件：状态为新开或已缴费并且在有效期内 or 已缴费并且已过期的
DIC_EXAM_ITEM_ORDER_CONFIG|插入单条记录
DIC_EXCEPT_MTRL_PRICE_ITEM|新增除外材料类别与价表项目对照
DIC_FOODBN_DISEASE_CONTRAST|新增食源性疾病对照字典
DIC_FORM_USAGE_CONFIG|查询中药煎药方式字典
DIC_FRYING_MODE_DICT|插入邮寄信息
DIC_FUNCTION_CLASS|新增功能类别字典表
DIC_FUNCTION_ITEM_DICT|新增功能项目字典
